0,1,2,3,4,5,6,7,8
White,Black/African American,American Indian & Alaska Native,Asian,Native Hawaiian & Other Pacific Islander,Hispanic or Latino,NAME,state,county
11734,77,29,32,0,11991,Schoharie County ,New York,95
16623,68,1059,42,0,17931,Franklin County ,New York,33
21919,370,179,63,5,22770,Genesee County ,New York,37
235759,35298,733,5382,64,286512,Monroe County ,New York,55
62473,2428,172,634,22,67499,Ulster County ,New York,111
7241,31,26,12,2,7374,Schuyler County ,New York,97
415829,26357,1104,8834,111,469299,Suffolk County ,New York,103
8899,42,14,13,0,9029,Yates County ,New York,123
12324,85,28,62,1,12630,Seneca County ,New York,99
24647,1744,66,243,7,27661,Sullivan County ,New York,105
19350,98,38,68,3,19725,Tioga County ,New York,107
37918,488,93,280,6,39071,Steuben County ,New York,101
253959,45584,625,12772,88,337142,Westchester County ,New York,119
25240,137,49,95,1,25726,Warren County ,New York,113
22141,66,41,43,4,22458,Washington County ,New York,115
32041,1047,99,2311,16,36420,Tompkins County ,New York,109
33331,916,90,94,3,34908,Wayne County ,New York,117
14719,34,33,33,1,14906,Wyoming County ,New York,121
14777,42,45,33,9,15028,Essex County ,New York,31
19609,79,54,42,3,19926,Chenango County ,New York,17
19276,181,41,66,1,20038,Montgomery County ,New York,57
17514,355,52,57,4,18256,Greene County ,New York,39
24881,124,138,76,2,25368,Madison County ,New York,53
44585,212,165,120,4,45522,Oswego County ,New York,75
126798,13918,312,7194,41,156341,Richmond County ,New York,85
52267,805,207,137,6,54515,Chautauqua County ,New York,13
22673,188,58,111,6,23291,Otsego County ,New York,77
17629,70,50,96,0,18009,Allegany County ,New York,3
155726,168716,3098,11977,342,463212,Bronx County ,New York,5
75480,2298,155,1578,14,80749,Broome County ,New York,7
30627,274,765,116,4,32023,Cattaraugus County ,New York,9
29689,440,90,74,4,30558,Cayuga County ,New York,11
33037,1340,73,221,7,35049,Chemung County ,New York,15
17737,131,53,71,1,18210,Cortland County ,New York,23
18807,122,61,86,3,19270,Delaware County ,New York,25
318834,47921,2082,4515,50,380873,Erie County ,New York,29
2327,3,8,1,0,2362,Hamilton County ,New York,41
25326,91,45,78,5,25734,Herkimer County ,New York,43
37353,1395,190,223,42,40068,Jefferson County ,New York,45
406309,314467,2892,51147,397,880727,Kings County ,New York,47
9904,22,29,20,2,10040,Lewis County ,New York,49
21559,219,52,81,2,22150,Livingston County ,New York,51
471841,113843,2388,60003,329,738644,New York County ,New York,61
80762,5112,742,385,12,87846,Niagara County ,New York,63
84556,3607,192,750,14,90496,Oneida County ,New York,65
157852,15610,1299,3058,44,181153,Onondaga County ,New York,67
99645,8191,351,1339,40,114788,Orange County ,New York,71
31232,397,42,318,6,32703,Putnam County ,New York,79
55336,2673,135,829,6,59894,Rensselaer County ,New York,83
39471,154,339,247,6,40506,St. Lawrence County ,New York,89
75800,879,132,620,10,78165,Saratoga County ,New York,91
103103,12199,245,2536,30,120512,Albany County ,New York,1
28620,278,96,136,5,29423,Clinton County ,New York,19
23458,821,42,126,6,24796,Columbia County ,New York,21
86925,7550,197,2179,23,99536,Dutchess County ,New York,27
21399,166,41,88,3,21884,Fulton County ,New York,35
375637,37870,547,16375,98,447387,Nassau County ,New York,59
36987,671,80,185,5,38370,Ontario County ,New York,69
14565,499,68,33,2,15363,Orleans County ,New York,73
404340,146581,2753,116359,330,782664,Queens County ,New York,81
74914,8923,185,4258,45,92675,Rockland County ,New York,87
53904,3498,140,890,12,59684,Schenectady County ,New York,93
